backend,mode,batch,in_features,out_features,avg_ms,tflops
cuBLAS,baseline_fp32,256,1024,1024,0.0483738,11.0984
cuBLAS,tf32_tensor_core,256,1024,1024,0.0196813,27.2783
cuBLAS,baseline_fp32,1024,1024,1024,0.129413,16.594
cuBLAS,tf32_tensor_core,1024,1024,1024,0.0321126,66.8735
cuBLAS,baseline_fp32,4096,1024,1024,0.488489,17.5847
cuBLAS,tf32_tensor_core,4096,1024,1024,0.0894157,96.0674
cuBLAS,baseline_fp32,256,4096,4096,0.475587,18.0618
cuBLAS,tf32_tensor_core,256,4096,4096,0.0909312,94.4663
cuBLAS,baseline_fp32,1024,4096,4096,1.84388,18.6345
cuBLAS,tf32_tensor_core,1024,4096,4096,0.308654,111.321
cuBLAS,baseline_fp32,4096,4096,4096,7.21568,19.0473
cuBLAS,tf32_tensor_core,4096,4096,4096,1.09238,125.816
cuBLAS,baseline_fp32,256,8192,8192,1.87435,18.3315
cuBLAS,tf32_tensor_core,256,8192,8192,0.292311,117.545
cuBLAS,baseline_fp32,1024,8192,8192,7.2602,18.9305
cuBLAS,tf32_tensor_core,1024,8192,8192,1.12644,122.012
cuBLAS,baseline_fp32,2048,8192,8192,14.3589,19.1433
cuBLAS,tf32_tensor_core,2048,8192,8192,2.17858,126.173
